YEAR,MONTH,Datetime,Rainfall
1943,Aug,08-01-1943,124.634
1943,Sep,09-01-1943,219.452
1943,Oct,10-01-1943,1.643
1943,Nov,11-01-1943,0.039
1943,Dec,12-01-1943,0
1944,Jan,01-01-1944,16.106
1944,Feb,02-01-1944,3.003
1944,Mar,03-01-1944,31.014
1944,Apr,04-01-1944,4.364
1944,May,05-01-1944,0.262
1944,Jun,06-01-1944,36.553
1944,Jul,07-01-1944,251.241
1944,Aug,08-01-1944,325.125
1944,Sep,09-01-1944,54.444
1944,Oct,10-01-1944,10.916
1944,Nov,11-01-1944,0.039
1944,Dec,12-01-1944,0
1945,Jan,01-01-1945,8.044
1945,Feb,02-01-1945,0
1945,Mar,03-01-1945,0
1945,Apr,04-01-1945,2.301
1945,May,05-01-1945,15.109
1945,Jun,06-01-1945,24.127
1945,Jul,07-01-1945,382.578
1945,Aug,08-01-1945,178.958
1945,Sep,09-01-1945,66.155
1945,Oct,10-01-1945,0.181
1945,Nov,11-01-1945,0.039
1945,Dec,12-01-1945,0
1946,Jan,01-01-1946,0
1946,Feb,02-01-1946,0.893
1946,Mar,03-01-1946,0
1946,Apr,04-01-1946,0.487
1946,May,05-01-1946,5.394
1946,Jun,06-01-1946,51.897
1946,Jul,07-01-1946,127.249
1946,Aug,08-01-1946,206.001
1946,Sep,09-01-1946,18.598
1946,Oct,10-01-1946,0.313
1946,Nov,11-01-1946,11.707
1946,Dec,12-01-1946,1.228
1947,Jan,01-01-1947,0.776
1947,Feb,02-01-1947,0.958
1947,Mar,03-01-1947,0.053
1947,Apr,04-01-1947,0.655
1947,May,05-01-1947,0.746
1947,Jun,06-01-1947,8.839
1947,Jul,07-01-1947,110.917
1947,Aug,08-01-1947,218.901
1947,Sep,09-01-1947,253.37
1947,Oct,10-01-1947,29.935
1947,Nov,11-01-1947,0.039
1947,Dec,12-01-1947,1.714
1948,Jan,01-01-1948,12.576
1948,Feb,02-01-1948,5.561
1948,Mar,03-01-1948,2.236
1948,Apr,04-01-1948,1.255
1948,May,05-01-1948,4.685
1948,Jun,06-01-1948,33.803
1948,Jul,07-01-1948,296.74
1948,Aug,08-01-1948,140.553
1948,Sep,09-01-1948,39.552
1948,Oct,10-01-1948,2.318
1948,Nov,11-01-1948,7.139
1948,Dec,12-01-1948,0
1949,Jan,01-01-1949,5.811
1949,Feb,02-01-1949,1.478
1949,Mar,03-01-1949,0.004
1949,Apr,04-01-1949,0
1949,May,05-01-1949,4.131
1949,Jun,06-01-1949,29.181
1949,Jul,07-01-1949,252.869
1949,Aug,08-01-1949,97.903
1949,Sep,09-01-1949,74.913
1949,Oct,10-01-1949,11.523
1949,Nov,11-01-1949,0.039
1949,Dec,12-01-1949,0
1950,Jan,01-01-1950,0.965
1950,Feb,02-01-1950,0
1950,Mar,03-01-1950,4.053
1950,Apr,04-01-1950,0
1950,May,05-01-1950,4.928
1950,Jun,06-01-1950,13.713
1950,Jul,07-01-1950,251.4
1950,Aug,08-01-1950,68.196
1950,Sep,09-01-1950,129.235
1950,Oct,10-01-1950,0.404
1950,Nov,11-01-1950,0.071
1950,Dec,12-01-1950,0.958
1951,Jan,01-01-1951,0.54
1951,Feb,02-01-1951,0
1951,Mar,03-01-1951,5.108
1951,Apr,04-01-1951,4.161
1951,May,05-01-1951,13.217
1951,Jun,06-01-1951,77.364
1951,Jul,07-01-1951,95.699
1951,Aug,08-01-1951,188.917
1951,Sep,09-01-1951,41.008
1951,Oct,10-01-1951,6.908
1951,Nov,11-01-1951,68.25
1951,Dec,12-01-1951,0
1952,Jan,01-01-1952,0
1952,Feb,02-01-1952,1.972
1952,Mar,03-01-1952,1.166
1952,Apr,04-01-1952,2.353
1952,May,05-01-1952,2.067
1952,Jun,06-01-1952,34.423
1952,Jul,07-01-1952,317.529
1952,Aug,08-01-1952,217.25
1952,Sep,09-01-1952,10.932
1952,Oct,10-01-1952,0.103
1952,Nov,11-01-1952,0.039
1952,Dec,12-01-1952,4.69
1953,Jan,01-01-1953,4.531
1953,Feb,02-01-1953,0
1953,Mar,03-01-1953,0
1953,Apr,04-01-1953,2.362
1953,May,05-01-1953,3.038
1953,Jun,06-01-1953,45.111
1953,Jul,07-01-1953,151.471
1953,Aug,08-01-1953,216.061
1953,Sep,09-01-1953,96.931
1953,Oct,10-01-1953,1.558
1953,Nov,11-01-1953,0.039
1953,Dec,12-01-1953,0
1954,Jan,01-01-1954,5.384
1954,Feb,02-01-1954,5.038
1954,Mar,03-01-1954,2.846
1954,Apr,04-01-1954,0
1954,May,05-01-1954,0.866
1954,Jun,06-01-1954,14.385
1954,Jul,07-01-1954,205.595
1954,Aug,08-01-1954,123.697
1954,Sep,09-01-1954,229.512
1954,Oct,10-01-1954,29.153
1954,Nov,11-01-1954,21.421
1954,Dec,12-01-1954,0
1955,Jan,01-01-1955,2.05
1955,Feb,02-01-1955,0
1955,Mar,03-01-1955,0.832
1955,Apr,04-01-1955,0.07
1955,May,05-01-1955,6.652
1955,Jun,06-01-1955,50.621
1955,Jul,07-01-1955,69.147
1955,Aug,08-01-1955,287.089
1955,Sep,09-01-1955,175.707
1955,Oct,10-01-1955,16.698
1955,Nov,11-01-1955,0.039
1955,Dec,12-01-1955,5.585
1956,Jan,01-01-1956,7.589
1956,Feb,02-01-1956,0.04
1956,Mar,03-01-1956,14.427
1956,Apr,04-01-1956,2.124
1956,May,05-01-1956,1.035
1956,Jun,06-01-1956,51.545
1956,Jul,07-01-1956,453.715
1956,Aug,08-01-1956,124.528
1956,Sep,09-01-1956,21.758
1956,Oct,10-01-1956,43.796
1956,Nov,11-01-1956,4.227
1956,Dec,12-01-1956,2.286
1957,Jan,01-01-1957,8.074
1957,Feb,02-01-1957,0
1957,Mar,03-01-1957,15.993
1957,Apr,04-01-1957,2.307
1957,May,05-01-1957,9.312
1957,Jun,06-01-1957,38.781
1957,Jul,07-01-1957,139.824
1957,Aug,08-01-1957,199.463
1957,Sep,09-01-1957,36.7
1957,Oct,10-01-1957,1.59
1957,Nov,11-01-1957,17.9
1957,Dec,12-01-1957,0.601
1958,Jan,01-01-1958,0.188
1958,Feb,02-01-1958,0.354
1958,Mar,03-01-1958,0.969
1958,Apr,04-01-1958,0.486
1958,May,05-01-1958,6.727
1958,Jun,06-01-1958,19.936
1958,Jul,07-01-1958,203.837
1958,Aug,08-01-1958,93.242
1958,Sep,09-01-1958,296.981
1958,Oct,10-01-1958,9.898
1958,Nov,11-01-1958,80.974
1958,Dec,12-01-1958,6.205
1959,Jan,01-01-1959,1.238
1959,Feb,02-01-1959,0.485
1959,Mar,03-01-1959,0.562
1959,Apr,04-01-1959,1.977
1959,May,05-01-1959,14.824
1959,Jun,06-01-1959,70.249
1959,Jul,07-01-1959,178.568
1959,Aug,08-01-1959,133.771
1959,Sep,09-01-1959,169.354
1959,Oct,10-01-1959,6.555
1959,Nov,11-01-1959,24.177
1959,Dec,12-01-1959,0
1960,Jan,01-01-1960,1.398
1960,Feb,02-01-1960,0
1960,Mar,03-01-1960,1.119
1960,Apr,04-01-1960,0
1960,May,05-01-1960,7.132
1960,Jun,06-01-1960,62.209
1960,Jul,07-01-1960,136.085
1960,Aug,08-01-1960,105.438
1960,Sep,09-01-1960,19.715
1960,Oct,10-01-1960,10.077
1960,Nov,11-01-1960,0.039
1960,Dec,12-01-1960,0.792
1961,Jan,01-01-1961,5.059
1961,Feb,02-01-1961,11.674
1961,Mar,03-01-1961,0
1961,Apr,04-01-1961,10.683
1961,May,05-01-1961,8.026
1961,Jun,06-01-1961,48.701
1961,Jul,07-01-1961,135.594
1961,Aug,08-01-1961,152.056
1961,Sep,09-01-1961,225.808
1961,Oct,10-01-1961,12.465
1961,Nov,11-01-1961,2.288
1961,Dec,12-01-1961,0.821
1962,Jan,01-01-1962,1.617
1962,Feb,02-01-1962,0
1962,Mar,03-01-1962,15.765
1962,Apr,04-01-1962,3.193
1962,May,05-01-1962,3.217
1962,Jun,06-01-1962,13.434
1962,Jul,07-01-1962,251.751
1962,Aug,08-01-1962,89.406
1962,Sep,09-01-1962,113.312
1962,Oct,10-01-1962,0
1962,Nov,11-01-1962,5.161
1962,Dec,12-01-1962,3.023
1963,Jan,01-01-1963,0.91
1963,Feb,02-01-1963,2.502
1963,Mar,03-01-1963,3.128
1963,Apr,04-01-1963,0.348
1963,May,05-01-1963,2.812
1963,Jun,06-01-1963,19.654
1963,Jul,07-01-1963,68.026
1963,Aug,08-01-1963,167.707
1963,Sep,09-01-1963,103.93
1963,Oct,10-01-1963,10.422
1963,Nov,11-01-1963,27.105
1963,Dec,12-01-1963,1.629
1964,Jan,01-01-1964,0
1964,Feb,02-01-1964,0
1964,Mar,03-01-1964,0.547
1964,Apr,04-01-1964,0
1964,May,05-01-1964,20.572
1964,Jun,06-01-1964,38.024
1964,Jul,07-01-1964,221.673
1964,Aug,08-01-1964,231.847
1964,Sep,09-01-1964,68.687
1964,Oct,10-01-1964,6.409
1964,Nov,11-01-1964,0.039
1964,Dec,12-01-1964,6.205
1965,Jan,01-01-1965,5.913
1965,Feb,02-01-1965,1.438
1965,Mar,03-01-1965,6.031
1965,Apr,04-01-1965,1.544
1965,May,05-01-1965,0.492
1965,Jun,06-01-1965,12.905
1965,Jul,07-01-1965,306.552
1965,Aug,08-01-1965,103.157
1965,Sep,09-01-1965,24.031
1965,Oct,10-01-1965,4.03
1965,Nov,11-01-1965,0.039
1965,Dec,12-01-1965,0.4
1966,Jan,01-01-1966,0
1966,Feb,02-01-1966,0.183
1966,Mar,03-01-1966,0
1966,Apr,04-01-1966,0
1966,May,05-01-1966,15.914
1966,Jun,06-01-1966,49.175
1966,Jul,07-01-1966,191.453
1966,Aug,08-01-1966,239.483
1966,Sep,09-01-1966,79.71
1966,Oct,10-01-1966,0
1966,Nov,11-01-1966,22.862
